Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
16,4,−,12,"10,11,12,13,14,15,16,17,18,19,20","10,11,12,13,14,15,16,17,18,19,20"
18,2,−,16,"12,13,14,15,16,17,18,19,20","12,13,14,15,16,17,18,19,20"
16,6,−,10,"10,11,12,13,14,15,16,17,18","10,11,12,13,14,15,16,17,18"
14,3,−,11,"10,11,12,13,14,15,16,17,18,19,20","10,11,12,13,14,15,16,17,18,19,20"
24,5,−,19,"15,16,17,18,19,20,21,22,23,24,25","15,16,17,18,19,20,21,22,23,24,25"
14,6,−,8,"8,9,10,11,12,13,14,15,16","8,9,10,11,12,13,14,15,16"
13,5,−,8,"6,7,8,9,10,11,12,13,14,15,16","6,7,8,9,10,11,12,13,14,15,16"
21,8,−,13,"11,12,13,14,15,16,17,18,19,20,21","11,12,13,14,15,16,17,18,19,20,21"
20,5,−,15,"13,14,15,16,17,18,19,20,21,22,23","13,14,15,16,17,18,19,20,21,22,23"
19,7,−,11,"11,12,13,14,15,16,17,18,19,20,21","11,12,13,14,15,16,17,18,19,20,21"
76,5,−,71,"70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80","70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80"
59,3,−,56,"55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65","55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65"
63,1,−,62,"60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70","60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70"
41,6,−,35,"32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42","32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42"
94,7,−,87,"85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95","85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95"
33,8,−,25,"24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
12,3,−,9,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16"
38,6,−,32,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40","30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40"
69,3,−,66,"64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74","64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74"
45,9,−,36,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45","35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45"
65,8,−,57,"56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66","56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66"
91,6,−,85,"83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93","83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93"
26,4,−,22,"20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30","20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30"
73,5,−,68,"65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75","65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75"
98,6,−,92,"90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
56,2,−,54,"50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60"
10,2,−,8,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
84,5,−,79,"76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86","76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86"
47,9,−,36,"37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47","37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47"
30,2,−,28,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35","25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35"
158,10,−,148,"100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200","100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200"
245,10,−,235,"200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300","200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300"
362,10,−,352,"300, 310, 320, 330, 340, 350, 360, 370, 380, 390, 400","300, 310, 320, 330, 340, 350, 360, 370, 380, 390, 400"
445,100,−,345,"340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450","340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450"
617,100,−,517,"510, 520, 530, 540, 550, 560, 570, 580, 590, 600, 610, 620","510, 520, 530, 540, 550, 560, 570, 580, 590, 600, 610, 620"
728,10,−,718,"710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830","710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830"
869,10,−,859,"800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900","800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900"
991,10,−,981,"900, 910, 920, 930, 940, 950, 960, 970, 980, 990, 1000","900, 910, 920, 930, 940, 950, 960, 970, 980, 990, 1000"
475,100,−,375,"370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480","370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480"
831,100,−,731,"730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840","730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840"
738,10,−,728,"700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800","700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800"
