Operand 1,Operand 2,Operator,Answer,Options
15,2,×,30,"35,40,30,50,60"
20,3,×,60,"50,60,70,80,65"
21,4,×,84,"82,84,86,88,80"
30,5,×,150,"140,145,150,155,135"
420,2,×,840,"840,880,900,820,800"
200,3,×,600,"600,680,630,690,695"
120,3,×,360,"340,350,360,370,375"
2500,2,×,5000,"4800,5100,5200,5000,4900"
1500,2,×,3000,"2500,3000,2000,3500,3800"
1400,2,×,2800,"2600,2900,2800,2500,2700"
1100,3,×,3300,"3300,3100,3200,3400,3500"
320,3,×,960,"940,950,960,970,980"
45,2,×,90,"70,75,85,90,95"
250,4,×,1000,"960,980,1000,1020,990"
4000,2,×,8000,"7800,7900,8000,8100,8200"
25,4,×,100,"90,95,100,105,110"
120,5,×,600,"580,590,600,610,540"
300,5,×,1500,"1480,1490,1500,1520,1450"
52,2,×,104,"100,104,108,110,112"
7000,3,×,21000,"20000,20500,21000,21500,22000"
48,2,×,96,"86,90,92,96,100"
160,5,×,800,"780,790,800,810,830"
80,9,×,720,"700,710,720,730,740"
1200,4,×,4800,"4600,4700,4800,4900,5000"
60,8,×,480,"460,470,480,490,450"
30,3,×,90,"85,90,95,100,105"
160,4,×,640,"620,630,640,650,660"
8000,3,×,24000,"23000,23500,24000,24500,25000"
4500,2,×,9000,"8800,8900,9000,9100,9200"
5200,3,×,15600,"15000,15200,15600,15800,16000"
90,10,×,900,"880,890,900,920,950"
