Operand 1,Operand 2,Answer,Options
x + x + 4,,2x + 4,
3x + 2 + 1,,3x + 3,
4x + 2 + x + 1,,5x + 3,
5x + 3x + 2,,8x + 2,
6x - 2x + 5,,4x + 5,
3x - 3x + 4,,4,
4x + 4x + 2,,8x + 2,
7x – 2x + 4 – 1,,5x + 3,
5x – 2x + 4 – 4,,3x,
8x – 3x + 6 – 4,,5x + 2,
6x + 2x + 5,,8x + 5,
4x + 2 - 2,,4x,
7x – 7x + 4 – 1,,3,
3x + 3x + 4,,6x + 4,
8x – 3x + 6 – 4,,5x + 2,
5x – 3x + 7 – 2,,2x + 5,
4x + 3x + 5,,7x + 5,
6x + 2x + 3,,8x + 3,
7x + 3x + 1 - 3,,10x - 2,
9x – 4x + 5 – 2,,5x + 3,
8x + 2x + 6,,10x + 6,
5x + 3x + 4,,8x + 4,
6x – 2x + 8 – 3,,4x + 5,
7x – 3x + 6 – 4,,4x + 2,
4x + 5x + 2,,9x + 2,
8x – 5x + 7 – 1,,3x + 6,
9x + 1x + 5,,10x + 5,
6x + 3x + 2,,9x + 2,
5x – 2x + 2 – 2,,3x,
7x – 4x + 4 – 2,,3x + 2,
3(−x − 1),,−3x − 3,
4(x + 2),,4x + 8,
−5(x − 1),,−5x + 5,
2(2x + 3),,4x + 6,
3(−x + 2) − 1,,−3x + 5,
−4(x − 1) + 3,,−4x + 7,
−2(3x − 2) + x,,−5x + 4,
3(x + 3) + 2 − 4x,,−x + 11,
5(2x − 3) − 3 − 2x,,8x − 12,
6(3x + 1) + 1 − 3x,,15x + 7,
−6(x − 3) − 4x + 5,,−10x + 23,
3(x − 1) − 2x + 4,,x + 1,
4(2x − 2) + 1,,8x − 7,
2(x − 2) + 3x − 1,,5x − 5,
3(−2x + 3) − 2x − 1,,−8x + 8,
3(x − 1) + x,,4x − 3,
−2(x + 3) − x,,−3x − 6,
5(2x − 3) − 2x + 1,,8x − 14,
3(x + 2) + 4 − 2x,,x + 10,
4(x − 2) − x + 3,,3x − 5,
−5(x − 1) + 3,,−5x + 8,
3(2x + 2) − 4,,6x + 2,
5(x + 1) − 3x − 2,,2x + 3,
6(x − 1) − 4x + 2,,2x − 4,
−3(2x + 3),,−6x − 9,
2(3x + 4) − x,,5x + 8,
6(x − 1) + 2,,6x − 4,
4(−2x + 1) − 3x + 2,,−11x + 6,
4(x + 1) − 2x,,2x + 4,
5(x − 2),,5x − 10,
3x + 6,"1, 2, 3, 6",3,
4x + 8,"1, 2, 4, 8",4,
5x + 10,"1, 2, 5, 10",5,
6x + 12,"1, 2, 3, 6",6,
12x + 18,"1, 2, 3, 6",6,
5x − 8,"1, 2, 3, 5",1,
3x + 9y + 6,"1, 2, 3, 6",3,
8y − 4x + 16,"1, 2, 4, 8",4,
15y + 25x − 20,"1, 5, 10, 20",5,
18x + 30y − 24,"6, 12, 24, 4",6,
18x + 24,"1, 2, 3, 6",6,
12x + 20,"1, 2, 4, 6",4,
21x + 14,"1, 3, 7, 14",7,
25x + 15,"1, 3, 5, 15",5,
28x + 14,"1, 2, 7, 14",14,
16x + 20,"1, 2, 4, 8",4,
9x + 15,"1, 3, 5, 9",3,
8x + 12y − 20,"2, 4, 10, 20",4,
6y+ 14x − 10,"1, 2, 5, 10",2,
10x + 30,"1, 2, 5, 10",10,
14x + 7y − 7,"1, 7, 14, 21",7,
22x + 11,"1, 11, 22, 33",11,
27x + 18,"1, 3, 6, 9",9,
15y + 5x − 10,"1, 5, 10, 15",5,
30x + 20,"1, 2, 5, 10",10,
24x + 6y − 12,"1, 2, 3, 6",6,
18x + 6,"1, 2, 3, 6",6,
14y + 21x − 7,"1, 7, 14, 21",7,
20x + 5,"1, 5, 10, 20",5,
26x + 13,"1, 13, 26, 39",13,
