Operand 1,Operand 2,Answer,Operator,Markers List
2,3,5,+,"0,1,2,3,4,5,6,7,8,9,10"
5,4,9,+,"0,1,2,3,4,5,6,7,8,9,10"
47,53,100,+,"90,91,92,93,94,95,96,97,98,99,100"
420,480,900,+,"100,200,300,400,500,600,700,800,900,1000"
650,350,1000,+,"100,200,300,400,500,600,700,800,900,1000"
10,2,8,–,"0,1,2,3,4,5,6,7,8,9,10"
6,4,2,–,"0,1,2,3,4,5,6,7,8,9,10"
60,20,40,–,"40,41,42,43,44,45,46,47,48,49,50"
1000,200,800,–,"100,200,300,400,500,600,700,800,900,1000"
600,200,400,–,"100,200,300,400,500,600,700,800,900,1000"
3,6,9,+,"0,1,2,3,4,5,6,7,8,9,10"
7,2,9,+,"0,1,2,3,4,5,6,7,8,9,10"
38,62,100,+,"90,91,92,93,94,95,96,97,98,99,100"
350,550,900,+,"100,200,300,400,500,600,700,800,900,1000"
750,250,1000,+,"100,200,300,400,500,600,700,800,900,1000"
9,3,6,–,"0,1,2,3,4,5,6,7,8,9,10"
8,5,3,–,"0,1,2,3,4,5,6,7,8,9,10"
70,30,40,–,"40,41,42,43,44,45,46,47,48,49,50"
900,100,800,–,"100,200,300,400,500,600,700,800,900,1000"
700,300,400,–,"100,200,300,400,500,600,700,800,900,1000"
