Operand 1,Operand 2,Answer,Operator,Markers List
4,5,9,+,"5,6,7,8,9,10,11,12,13,14,15"
7,6,13,+,"10,11,12,13,14,15,16,17,18,19,20"
10,9,19,+,"10,11,12,13,14,15,16,17,18,19,20"
6,2,8,+,"0,1,2,3,4,5,6,7,8,9,10"
3,3,6,+,"0,1,2,3,4,5,6,7,8,9,10"
9,5,14,+,"10,11,12,13,14,15,16,17,18,19,20"
1,7,8,+,"5,6,7,8,9,10,11,12,13,14,15"
8,10,18,+,"10,11,12,13,14,15,16,17,18,19,20"
2,10,12,+,"5,6,7,8,9,10,11,12,13,14,15"
10,10,20,+,"10,11,12,13,14,15,16,17,18,19,20"
3,6,9,+,"5,6,7,8,9,10,11,12,13,14,15"
5,3,8,+,"0,1,2,3,4,5,6,7,8,9,10"
6,7,13,+,"10,11,12,13,14,15,16,17,18,19,20"
2,9,11,+,"5,6,7,8,9,10,11,12,13,14,15"
4,2,6,+,"0,1,2,3,4,5,6,7,8,9,10"
9,6,15,+,"10,11,12,13,14,15,16,17,18,19,20"
5,6,11,+,"5,6,7,8,9,10,11,12,13,14,15"
2,5,7,+,"0,1,2,3,4,5,6,7,8,9,10"
7,9,16,+,"10,11,12,13,14,15,16,17,18,19,20"
3,4,7,+,"0,1,2,3,4,5,6,7,8,9,10"
