Operand 1,Operand 2,Answer,minX,maxX,xInterval,minY,maxY,yInterval
3,5,"(3,5)",0,12,1,0,12,1
6,2,"(6,2)",0,12,1,0,6,1
10,0,"(10,0)",0,12,1,0,5,1
0,9,"(0,9)",0,5,1,0,12,1
4,7,"(4,7)",0,12,1,0,12,1
12,6,"(12,6)",0,12,1,0,12,1
18,10,"(18,10)",0,24,2,0,12,1
22,12,"(22,12)",0,24,2,0,16,2
8,28,"(8,28)",0,10,1,0,30,2
18,1,"(18,1)",0,20,2,0,12,1
1,32,"(1,32)",0,10,1,0,34,2
30,28,"(30, 28)",0,30,2,0,30,2
22,11,"(22,11)",0,24,2,0,12,1
24,6,"(24,6)",0,24,2,0,8,1
33,25,"(33,25)",0,36,3,0,30,5
18,24,"(18,24)",0,24,2,0,30,3
30,10,"(30,10)",0,30,3,0,12,1
27,8,"(27,8)",0,30,3,0,12,1
12,16,"(12,16)",0,14,1,0,20,2
33,15,"(33,15)",0,36,3,0,18,3
12,5,"(12,5)",0,13,1,0,6,1
16,33,"(16,33)",0,20,2,0,33,3
22,5,"(22,5)",0,24,2,0,6,1
30,30,"(30,30)",0,30,3,0,30,3
28,7,"(28,7)",0,32,4,0,9,1
10,32,"(10,32)",0,12,1,0,34,2
6,18,"(6,18)",0,12,1,0,20,2
24,12,"(24,12)",0,30,3,0,20,2
5,5,"(5,5)",0,12,1,0,12,1
10,26,"(10,26)",0,12,1,0,28,2
25,12,"(25,12)",0,30,3,0,12,1
