Operand 1,Operand 2,Answer,Question_en,Question_es
2,cake,1/2,Give each alien one half of the cake.,Dale a cada alienígena la mitad del pastel.
4,pizza,1/4,Give each alien one quarter of the pizza.,Dale a cada alienígena un cuarto de la pizza.
4,pastry,1/4,Give each alien one quarter of the pastry.,Dale a cada alienígena un cuarto del pastelillo.
2,pizza,1/2,Give each alien one half of the pizza.,Dale a cada alienígena la mitad de la pizza.
4,cake,1/4,Give each alien one fourth of the cake.,Dale a cada alienígena una cuarta parte del pastel.
2,pastry,1/4,Give each alien one quarter of the pastry.,Dale a cada alienígena un cuarto del pastelillo.
2,cake,1/4,Give each alien one quarter of the cake.,Dale a cada alienígena un cuarto del pastel.
2,pastry,1/2,Give each alien one half of the pastry.,Dale a cada alienígena la mitad del pastelillo.
4,pizza,1/4,Give each alien one fourth of the pizza.,Dale a cada alienígena una cuarta parte de la pizza.
2,pizza,1/2,Give each alien one half of the pizza.,Dale a cada alienígena la mitad de la pizza.
4,pizza,1/4,Give each alien one quarter of the pizza.,Dale a cada alienígena un cuarto de la pizza.
2,pizza,1/4,Give each alien one fourth of the pizza.,Dale a cada alienígena una cuarta parte de la pizza.
2,cake,1/2,Give each alien one half of the cake.,Dale a cada alienígena la mitad del pastel.
4,cake,1/4,Give each alien one quarter of the cake.,Dale a cada alienígena un cuarto del pastel.
2,cake,1/4,Give each alien one fourth of the cake.,Dale a cada alienígena una cuarta parte del pastel.
2,pastry,1/2,Give each alien one half of the pastry.,Dale a cada alienígena la mitad del pastelillo.
4,pastry,1/4,Give each alien one quarter of the pastry.,Dale a cada alienígena un cuarto del pastelillo.
2,pastry,1/4,Give each alien one fourth of the pastry.,Dale a cada alienígena una cuarta parte del pastelillo.
2,pizza,1/4,Give each alien one quarter of the pizza.,Dale a cada alienígena un cuarto de la pizza.
4,cake,1/4,Give each alien one fourth of the cake.,Dale a cada alienígena una cuarta parte del pastel.
2,cake,1/2,Give each alien one half of the cake.,Dale a cada alienígena la mitad del pastel.
2,pastry,1/4,Give each alien one quarter of the pastry.,Dale a cada alienígena un cuarto del pastelillo.
4,pizza,1/4,Give each alien one fourth of the pizza.,Dale a cada alienígena una cuarta parte de la pizza.
2,pastry,1/2,Give each alien one half of the pastry.,Dale a cada alienígena la mitad del pastelillo.
4,pastry,1/4,Give each alien one fourth of the pastry.,Dale a cada alienígena una cuarta parte del pastelillo.
2,pizza,1/2,Give each alien one half of the pizza.,Dale a cada alienígena la mitad de la pizza.
2,cake,1/4,Give each alien one quarter of the cake.,Dale a cada alienígena un cuarto del pastel.
