Operand 1,Operand 2,Answer,Position
,4,6,lhs
3,,7,lhs
,2,8,rhs
6,,4,rhs
,7,3,lhs
,5,5,rhs
8,,2,rhs
,10,0,lhs
9,,1,lhs
,6,4,lhs
,3,7,rhs
4,,6,rhs
5,,5,lhs
10,,0,rhs
,8,2,lhs
,9,1,rhs
7,,3,rhs
10,,0,lhs
6,,4,lhs
,9,1,lhs
,1,9,rhs
5,,5,rhs
7,,3,lhs
10,,0,rhs
,10,0,rhs
,5,5,lhs
2,,8,rhs
3,,7,lhs
,6,4,rhs
,4,6,lhs
,3,7,lhs
,4,6,rhs
8,,2,lhs
,7,3,rhs
,6,4,lhs
9,,1,rhs
,2,8,lhs
,1,9,rhs
3,,7,lhs
,5,5,rhs
,1,9,lhs
4,,6,rhs
,9,1,lhs
,3,7,rhs
,5,5,lhs
2,,8,rhs
,8,2,lhs
,6,4,rhs
9,,1,lhs
,9,1,rhs
,7,3,lhs
,2,8,lhs
3,,7,rhs
,4,6,lhs
8,,2,rhs
,6,4,lhs
,5,5,rhs
,3,7,lhs
9,,1,rhs
,8,2,rhs
