Operand 1,Operand 2,Answer,Operator,Markers List
7,9,63,×,"60,61,62,63,64,65,66,67,68,69,70"
8,9,72,×,"70,71,72,73,74,75,76,77,78,79,80"
9,9,81,×,"80,81,82,83,84,85,86,87,88,89,90"
5,9,45,×,"40,41,42,43,44,45,46,47,48,49,50"
6,9,54,×,"50,51,52,53,54,55,56,57,58,59,60"
10,7,70,×,"70,71,72,73,74,75,76,77,78,79,80"
6,10,60,×,"60,61,62,63,64,65,66,67,68,69,70"
5,7,35,×,"30,31,32,33,34,35,36,37,38,39,40"
6,6,36,×,"30,31,32,33,34,35,36,37,38,39,40"
7,6,42,×,"40,41,42,43,44,45,46,47,48,49,50"
4,7,28,×,"20,21,22,23,24,25,26,27,28,29,30"
8,4,32,×,"30,31,32,33,34,35,36,37,38,39,40"
9,5,45,×,"40,41,42,43,44,45,46,47,48,49,50"
3,6,18,×,"10,11,12,13,14,15,16,17,18,19,20"
10,6,60,×,"50,51,52,53,54,55,56,57,58,59,60"
2,9,18,×,"10,11,12,13,14,15,16,17,18,19,20"
7,7,49,×,"40,41,42,43,44,45,46,47,48,49,50"
9,3,27,×,"20,21,22,23,24,25,26,27,28,29,30"
5,4,20,×,"10,11,12,13,14,15,16,17,18,19,20"
8,8,64,×,"60,61,62,63,64,65,66,67,68,69,70"
