Operand 1,Operand 2,Answer,type,Question_en,Question_es
6,moonburger,6,feed,Feed 6 moonburgers to the aliens.,Da 6 hamburguesas lunares a los alienígenas.
8,moonmelon,8,feed,Feed 8 moonmelons to the aliens.,Da 8 melones a los alienígenas.
10,moonpie,10,feed,Feed 10 moonpies to the aliens.,Da 10 pasteles de luna a los alienígenas.
9,mooncake,9,feed,Feed 9 mooncakes to the aliens.,Da 9 pasteles lunares a los alienígenas.
7,moonburger,7,feed,Feed 7 moonburgers to the aliens.,Da 7 tés lunares a los alienígenas.
4,moonsandwich,4,count,How many moonsandwiches does the alien have?,¿Cuántos sándwiches lunares tiene el alienígena?
5,moonpie,5,count,How many moonpies does the alien have?,¿Cuántos pasteles de luna tiene el alienígena?
8,mooncake,8,count,How many mooncakes does the alien have?,¿Cuántos pasteles lunares tiene el alienígena?
7,moonburger,7,count,How many moonburgers does the alien have?,¿Cuántas hamburguesas lunares tiene el alienígena?
9,moonmelon,9,count,How many moonmelons does the alien have?,¿Cuántos melones tiene el alienígena?
6,moontea,6,count,How many moonteas does the alien have?,¿Cuántos tés lunares tiene el alienígena?
10,moonmelon,10,count,How many moonmelons does the alien have?,¿Cuántos melones tiene el alienígena?
7,mooncake,7,feed,Feed 7 mooncakes to the aliens.,Da 7 pasteles lunares a los alienígenas.
9,moonburger,9,feed,Feed 9 moonburgers to the aliens.,Da 9 tés lunares a los alienígenas.
6,moonpie,6,feed,Feed 6 moonpies to the aliens.,Da 6 pasteles de luna a los alienígenas.
10,moonmelon,10,feed,Feed 10 moonmelons to the aliens.,Da 10 melones a los alienígenas.
8,moonsandwich,8,feed,Feed 8 moonsandwiches to the aliens.,Da 8 sándwiches lunares a los alienígenas.
5,moonburger,5,count,How many moonburgers does the alien have?,¿Cuántas hamburguesas lunares tiene el alienígena?
8,moonpie,8,count,How many moonpies does the alien have?,¿Cuántos pasteles de luna tiene el alienígena?
3,mooncake,3,count,How many mooncakes does the alien have?,¿Cuántos pasteles lunares tiene el alienígena?
9,moontea,9,count,How many moonteas does the alien have?,¿Cuántos tés lunares tiene el alienígena?
7,moonsandwich,7,count,How many moonsandwiches does the alien have?,¿Cuántos sándwiches lunares tiene el alienígena?
10,moonmelon,10,count,How many moonmelons does the alien have?,¿Cuántos melones tiene el alienígena?
6,moonburger,6,count,How many moonburgers does the alien have?,¿Cuántas hamburguesas lunares tiene el alienígena?
6,moonsandwich,6,feed,Feed 6 moonsandwiches to the aliens.,Da 6 sándwiches lunares a los alienígenas.
8,moonmelon,8,feed,Feed 8 moonmelons to the aliens.,Da 8 melones a los alienígenas.
10,moonburger,10,feed,Feed 10 moonburgers to the aliens.,Da 10 hamburguesas lunares a los alienígenas.
9,moonpie,9,feed,Feed 9 moonpies to the aliens.,Da 9 pasteles de luna a los alienígenas.
7,mooncake,7,feed,Feed 7 mooncakes to the aliens.,Da 7 tés lunares a los alienígenas.
2,mooncake,2,count,How many mooncakes does the alien have?,¿Cuántos pasteles lunares tiene el alienígena?
4,moonburger,4,count,How many moonburgers does the alien have?,¿Cuántas hamburguesas lunares tiene el alienígena?
7,moonmelon,7,count,How many moonmelons does the alien have?,¿Cuántos melones tiene el alienígena?
9,moonsandwich,9,count,How many moonsandwiches does the alien have?,¿Cuántos sándwiches lunares tiene el alienígena?
6,moontea,6,count,How many moonteas does the alien have?,¿Cuántos tés lunares tiene el alienígena?
10,moonpie,10,count,How many moonpies does the alien have?,¿Cuántos pasteles de luna tiene el alienígena?
8,mooncake,8,count,How many mooncakes does the alien have?,¿Cuántos pasteles lunares tiene el alienígena?
