Operand 1,Operand 2,Answer
3x + 4,-2,-2
5 + 4x,17,3
x/3 + 2,11,27
x/2 + 4,0,-8
6x + 15,33,3
21,7x - 14,5
3 + x/4,-1,-16
9x + 12,12,0
90,12x + 18,6
x/5 - 6,0,30
7x + 18,53,5
30x + 90,390,10
6x + 24,0,-4
99,9x + 27,8
3x + 5,-4,-3
84 + 12x,180,8
13x + 65,104,3
198,22x + 44,7
4x + 16,16,0
144,16x + 64,5
x/2 - 3,2,10
x/3 + 5,8,9
0,x/4 - 6,24
x/5 + 3,2,-5
x/6 + 4,0,-24
x/3 - 2,0,6
5,x/2 + 1,8
x/4 + 6,0,-24
-3,x/5 - 2,-5
x/3 + 7,1,-18
x/3 + 2,11,27
4,x/5 - 1,25
x/2 + 4,0,-8
1,x/3 - 5,18
3 + x/4,-1,-16
x/6 - 2,-5,-18
x/3 - 6,0,18
0,x/2 + 1,-2
x/5 - 6,0,30
x/3 + 6,0,-18
x/2 - 3,2,10
x/3 + 5,8,9
0,x/4 - 6,24
x/5 + 3,2,-5
x/6 + 4,0,-24
x/3 - 2,0,6
5,x/2 + 1,8
x/4 + 6,0,-24
-3,x/5 - 2,5
x/3 + 7,1,-18
x/6 - 5,1,36
x/2 - 6,2,16
x/4 + 2,-1,-12
x/3 + 1,-2,-9
x/5 + 4,3,-5
-6,x/2 - 1,-10
3,x/6 + 2,6
x/4 - 1,-3,-8
x/3 - 4,-7,-9
x/5 + 2,0,-10
6,3(x - 1),x = 3
-2(x + 4),-4,x = -2
15,5(x - 2),x = 5
3(x + 3),-6,x = -5
-28,-2(x + 9),x = 5
4(-3x + 5),44,x = -1
-8,2(-x - 7),x = -3
6(4x + 8),96,x = -4
5(x - 3),-10,x = 1
-3,3(-2x + 5),x = 3
7(x + 2),-56,x = -10
30,6(2x + 1),x = 2
-6(x - 7),24,x = 3
3(4x - 1),33,x = 3
-20,4(x - 5),x = 0
4(5x + 6),32,x = 1
-10,2(-3x + 2),x = 4
8(x + 1),56,x = 6
5(2x - 7),-25,x = -1
-30,3(x - 4),x = -6
9(x + 3),-18,x = -5
9(2x - 1),45,x = 3
10(x - 1),60,x = 7
-35,-5(2x + 3),x = 2
5(x - 3),-10,x = 1
8(x + 5),0,x = -5
6(3x + 1),60,x = 3
4,2(3x + 4),x = -1
4(x + 2),32,x = 6
98,7(2x + 4),x = 6
-3x + 5,2x - 10,x = 3
4 + 5x,-3x + 28,x = 3
4x + 10,2x + 30,x = 10
6 + 2x,14 + x,x = 8
8 - 2x,x - 4,x = 4
-3x + 7,-x + 1,x = 3
2x + 5,x - 3,x = -8
9x + 25,4x + 45,x = 4
4x + 6,2x - 10,x = -8
-4x + 12,-2x + 4,x = 4
-35 + 7x,25 + x,x = 10
4x + 20,10x - 4,x = 4
70 - 14x,-10 + 2x,x = 5
24 + 12x,3x - 3,x = -3
15x - 5,67 + 3x,x = 6
5x + 2,3x + 12,x = 5
48 + 8x,-4 + 4x,x = -13
-8x - 16,44 + 2x,x = -6
6x - 8,2x + 20,x = 7
11 + 11x,-11 - 11x,x = -1
14 + 7x,5x + 20,x = 3
3x - 9,1 + 2x,x = 10
-6 - 9x,-3x + 12,x = -3
11x + 3,5x + 69,x = 11
5x - 5,45 + 10x,x = -10
9x - 27,-12 + 6x,x = 5
13x + 39,7x + 75,x = 6
4 + 6x,2x + 36,x = 8
-2 + 6x,-2 + 3x,x = 0
-16 - 8x,44 + 2x,x = -6
