Operand 1,Operand 2,Operator,Answer,Markers List,Visible Markers
2,1,+,3,"0,1,2,3,4,5,6,7,8","0,1,2,3,4,5,6,7,8"
4,0,+,4,"0,1,2,3,4,5,6,7,8","0,1,2,3,4,5,6,7,8"
3,5,+,8,"2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10"
5,0,+,5,"0,1,2,3,4,5,6,7,8,9,10","0,1,2,3,4,5,6,7,8,9,10"
2,7,+,9,"1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7,8,9,10,11"
6,4,+,10,"4,5,6,7,8,9,10,11,12,13,14","4,5,6,7,8,9,10,11,12,13,14"
1,9,+,10,"1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7,8,9,10,11"
8,3,+,11,"5,6,7,8,9,10,11,12,13,14,15","5,6,7,8,9,10,11,12,13,14,15"
7,6,+,13,"5,6,7,8,9,10,11,12,13,14,15","5,6,7,8,9,10,11,12,13,14,15"
9,5,+,14,"8,9,10,11,12,13,14,15,16,17,18","8,9,10,11,12,13,14,15,16,17,18"
5,3,+,8,"5,6,7,8,9,10,11,12,13","5,6,7,8,9,10,11,12,13"
8,7,+,15,"8,9,10,11,12,13,14,15,16,17","8,9,10,11,12,13,14,15,16,17"
6,2,+,8,"6,7,8,9,10,11","6,7,8,9,10,11"
4,9,+,13,"4,5,6,7,8,9,10,11,12,13,14","4,5,6,7,8,9,10,11,12,13,14"
7,5,+,12,"7,8,9,10,11,12,13,14,15,16","7,8,9,10,11,12,13,14,15,16"
5,7,+,12,"5,6,7,8,9,10,11,12,13,14,15","5,6,7,8,9,10,11,12,13,14,15"
3,6,+,9,"3,4,5,6,7,8,9,10,11","3,4,5,6,7,8,9,10,11"
2,4,+,6,"2,3,4,5,6,7,8,9,10,11","2,3,4,5,6,7,8,9,10,11"
6,7,+,13,"6,7,8,9,10,11,12,13,14,15","6,7,8,9,10,11,12,13,14,15"
9,9,+,18,"9,10,11,12,13,14,15,16,17,18","9,10,11,12,13,14,15,16,17,18"
8,4,+,12,"8,9,10,11,12,13,14","8,9,10,11,12,13,14"
7,5,+,12,"7,8,9,10,11,12,13","7,8,9,10,11,12,13"
3,5,+,8,"3,4,5,6,7,8,9,10,11,12","3,4,5,6,7,8,9,10,11,12"
9,5,+,14,"9,10,11,12,13,14,15,16","9,10,11,12,13,14,15,16"
4,7,+,11,"4,5,6,7,8,9,10,11,12","4,5,6,7,8,9,10,11,12"
2,5,+,7,"2,3,4,5,6,7,8,9,10,11,12","2,3,4,5,6,7,8,9,10,11,12"
7,9,+,16,"7,8,9,10,11,12,13,14,15,16,17","7,8,9,10,11,12,13,14,15,16,17"
6,4,+,10,"6,7,8,9,10,11,12,13,14","6,7,8,9,10,11,12,13,14"
1,8,+,9,"1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,8,9,10"
8,9,+,17,"8,9,10,11,12,13,14,15,16,17","8,9,10,11,12,13,14,15,16,17"
12,3,+,15,"10,11,12,13,14,15,16,17,18,19,20","10,11,12,13,14,15,16,17,18,19,20"
34,2,+,36,"30,31,32,33,34,35,36,37,38,39,40","30,31,32,33,34,35,36,37,38,39,40"
56,1,+,57,"52,53,54,55,56,57,58,59,60,61,62","52,53,54,55,56,57,58,59,60,61,62"
73,4,+,77,"70,71,72,73,74,75,76,77,78,79,80","70,71,72,73,74,75,76,77,78,79,80"
81,6,+,87,"80,81,82,83,84,85,86,87,88,89,90","80,81,82,83,84,85,86,87,88,89,90"
65,5,+,70,"64,65,66,67,68,69,70,71,72,73,74","64,65,66,67,68,69,70,71,72,73,74"
27,6,+,33,"25,26,27,28,29,30,31,32,33,34,35","25,26,27,28,29,30,31,32,33,34,35"
48,7,+,55,"45,46,47,48,49,50,51,52,53,54,55","45,46,47,48,49,50,51,52,53,54,55"
39,7,+,46,"37,38,39,40,41,42,43,44,45,46,47","37,38,39,40,41,42,43,44,45,46,47"
84,9,+,93,"83,84,85,86,87,88,89,90,91,92,93","83,84,85,86,87,88,89,90,91,92,93"
77,8,+,85,"75,76,77,78,79,80,81,82,83,84,85","75,76,77,78,79,80,81,82,83,84,85"
58,3,+,61,"55,56,57,58,59,60,61,62,63,64,65","55,56,57,58,59,60,61,62,63,64,65"
14,9,+,23,"20,21,22,23,24,25,26,27,28,29,30","20,21,22,23,24,25,26,27,28,29,30"
67,6,+,73,"65,66,67,68,69,70,71,72,73,74,75","65,66,67,68,69,70,71,72,73,74,75"
46,9,+,55,"45,46,47,48,49,50,51,52,53,54,55","45,46,47,48,49,50,51,52,53,54,55"
23,4,+,27,"20,21,22,23,24,25,26,27,28,29,30","20,21,22,23,24,25,26,27,28,29,30"
15,7,+,22,"15,16,17,18,19,20,21,22,23,24,25","15,16,17,18,19,20,21,22,23,24,25"
68,6,+,74,"65,66,67,68,69,70,71,72,73,74,75","65,66,67,68,69,70,71,72,73,74,75"
82,9,+,91,"85,86,87,88,89,90,91,92,93,94,95","85,86,87,88,89,90,91,92,93,94,95"
72,4,+,76,"70,71,72,73,74,75,76,77,78,79,80","70,71,72,73,74,75,76,77,78,79,80"
25,7,+,32,"30,31,32,33,34,35,36,37,38,39,40","30,31,32,33,34,35,36,37,38,39,40"
41,5,+,46,"40,41,42,43,44,45,46,47,48,49,50","40,41,42,43,44,45,46,47,48,49,50"
59,7,+,66,"60,61,62,63,64,65,66,67,68,69,70","60,61,62,63,64,65,66,67,68,69,70"
86,8,+,94,"85,86,87,88,89,90,91,92,93,94,95","85,86,87,88,89,90,91,92,93,94,95"
